mass,name,position:0,position:1,position:2,velocity:0,velocity:1,velocity:2
1.18001e+14,,-2.97393e+00,-2.04608e+00,5.97740e-01,4.97558e-03,-6.81159e-03,-2.22929e-03
1.70101e+13,,1.16195e+00,-3.39593e-01,-4.62177e-01,1.06287e-02,1.25495e-02,-3.54402e-03
8.08627e+13,,-3.00409e+00,-9.60616e-02,-8.07057e-01,-1.07748e-03,-9.82115e-03,1.38029e-03
2.75225e+12,,3.23559e+00,-3.50651e+00,-5.06014e-01,5.05933e-03,1.70474e-03,-7.26889e-04
4.21401e+12,,-1.81354e+00,3.08812e+00,2.33586e-03,-6.85508e-03,-4.96715e-04,2.70759e-03
1.11767e+14,,-1.56424e+00,-2.87804e+00,-4.77682e-01,7.75032e-03,-4.97801e-03,1.24574e-03
2.27656e+12,,1.91777e+00,4.72744e-01,-7.59620e-02,-3.61693e-04,6.53005e-03,2.69816e-03
3.56296e+13,,-3.25821e+00,-1.12477e+00,-3.06442e-01,2.70265e-03,-8.38013e-03,-1.51704e-03
2.21782e+13,,-3.37057e+00,-4.92637e-01,3.43488e-02,1.47345e-03,-8.78566e-03,1.76370e-03
1.15382e+11,,3.89106e-01,-9.86465e-01,6.52235e-01,1.05041e-02,7.80815e-03,5.90201e-03
6.23096e+13,,-1.23957e+00,-2.82908e+00,3.31667e-01,8.85919e-03,-3.30557e-03,-2.76606e-03
1.71886e+12,,-1.86452e+00,3.00776e-01,5.05541e-01,-6.75265e-03,-1.14681e-02,1.51963e-03
8.90148e+11,,1.64984e+00,-2.76987e+00,-8.25180e-01,7.87988e-03,-5.71470e-04,1.52957e-03
7.34708e+11,,3.18853e+00,-4.68614e-01,1.12383e+00,4.69372e-03,5.66547e-03,2.69966e-03
1.60837e+13,,-2.05859e+00,1.96810e+00,1.36221e+00,-6.72477e-03,-4.62771e-03,2.62464e-03
2.15051e+13,,-2.39190e+00,-2.65422e+00,-6.45195e-01,6.19645e-03,-5.31029e-03,1.90503e-03
6.97827e+13,,-2.03404e+00,-2.63935e+00,-7.45938e-01,7.04806e-03,-5.41730e-03,1.01019e-03
5.05691e+13,,-1.01457e+00,-2.99152e+00,6.40362e-01,8.90782e-03,-3.23768e-03,-8.69983e-04
7.92702e+12,,-2.11152e+00,2.15598e+00,1.25742e+00,-6.30924e-03,-4.35698e-03,2.92350e-03
5.25380e+13,,2.07303e+00,-3.47479e+00,-2.15169e-01,5.41356e-03,3.53353e-03,-3.58066e-03
8.56876e+13,,2.21086e+00,-3.30528e+00,-7.62161e-01,6.32091e-03,3.56148e-03,-1.65517e-03
1.49201e+15,,4.17593e+00,-1.29297e+00,-2.45438e+00,1.24280e-03,7.43548e-03,-1.94668e-03
1.18128e+13,,2.41041e+00,3.87302e+00,1.05377e+00,-2.66576e-03,4.62374e-03,1.95744e-03
4.77718e+13,,1.32386e+00,-3.35416e+00,-3.60588e-01,7.89923e-03,2.66273e-03,-8.22572e-04
8.70005e+12,,4.01367e+00,-1.57738e+00,-1.50412e+00,4.35039e-03,3.26326e-03,-1.62536e-03
1.57797e+15,,4.60163e+00,-1.97144e+00,-1.28954e+00,2.39635e-03,6.67410e-03,-2.78494e-03
8.30980e+13,,-7.81537e-01,-2.94742e+00,3.06002e-01,8.99710e-03,-3.13698e-03,-2.93523e-03
3.79823e+13,,-1.08774e+00,-2.90930e+00,4.30806e-01,8.47963e-03,-4.43454e-03,-1.86246e-03
5.37356e+11,,-8.90277e-02,-6.84115e-01,-6.11116e-02,2.23687e-02,6.28212e-03,-5.44792e-03
5.19457e+12,,3.01560e+00,-1.71096e+00,-1.48747e-01,6.58019e-03,3.16031e-03,-2.48519e-03
1.03633e+11,,-3.50549e+00,-1.93412e-01,7.45399e-01,-2.84389e-03,-5.97122e-03,-1.10521e-03
1.41054e+14,,5.07269e-01,-3.96455e+00,-6.86481e-01,7.45231e-03,1.47114e-03,-8.44614e-04
1.38300e+14,,4.99955e-01,-3.60270e+00,-4.67420e-01,8.20000e-03,1.89527e-03,-2.03305e-03
5.09387e+11,,-2.81323e-01,-9.65729e-01,7.90736e-02,1.23983e-02,-9.04240e-03,1.16784e-02
1.60212e+15,,5.00772e+00,5.10979e-02,-1.63835e+00,-7.67660e-04,6.72840e-03,-3.23362e-03
4.50750e+13,,-2.81554e+00,-2.33119e+00,-3.70651e-01,5.40935e-03,-5.12218e-03,-3.73531e-03
3.35158e+13,,-2.04386e+00,-2.73927e+00,-7.82811e-01,6.87654e-03,-4.14333e-03,-3.37921e-03
4.04047e+13,,-2.36287e+00,-2.20318e+00,-2.23480e-01,6.46446e-03,-6.76878e-03,-1.52537e-03
